Iter = 101, 瞷︽秆cost = 112426.15, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 102, 瞷︽秆cost = 112431.92, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 103, 瞷︽秆cost = 112450.08, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 104, 瞷︽秆cost = 112420.66, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 105, 瞷︽秆cost = 112351.46, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 106, 瞷︽秆cost = 112377.85, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 107, 瞷︽秆cost = 112383.45, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 108, 瞷︽秆cost = 112343.38, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 109, 瞷︽秆cost = 112406.09, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 110, 瞷︽秆cost = 112430.65, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 111, 瞷︽秆cost = 112437.89, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 112, 瞷︽秆cost = 112422.77, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 113, 瞷︽秆cost = 112383.96, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 114, 瞷︽秆cost = 112386.23, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
